Sales Person,Country,Product,Date,Amount,boxes_shipped
Karlen McCaffrey,Canada,Smooth Sliky Salty,19-Jan-22,3017.0,184
Andria Kimpton,USA,85% Dark Bars,05-Apr-22,8911.0,82
Jehu Rudeforth,Canada,Milk Bars,21-Feb-22,7203.0,12
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,20-May-22,13083.0,14
Mallorie Waber,Australia,Milk Bars,29-Jul-22,2779.0,104
Barr Faughny,USA,Fruit & Nut Bars,28-Jan-22,9058.0,46
Marney O'Breen,UK,Caramel Stuffed Bars,19-Jul-22,3549.0,112
Mallorie Waber,New Zealand,Manuka Honey Choco,13-Apr-22,9436.0,11
Roddy Speechley,India,Peanut Butter Cubes,11-Feb-22,10283.0,21
Roddy Speechley,New Zealand,Milk Bars,02-Mar-22,5446.0,116
Ches Bonnell,Australia,White Choc,02-Mar-22,1043.0,202
Van Tuxwell,USA,99% Dark & Pure,28-Jul-22,12586.0,6
Kelci Walkden,India,After Nines,07-Jan-22,1687.0,520
Brien Boise,UK,White Choc,12-Apr-22,5299.0,167
Van Tuxwell,Canada,Almond Choco,27-Jun-22,3213.0,72
Jehu Rudeforth,Australia,50% Dark Bites,14-Jan-22,5194.0,418
Karlen McCaffrey,UK,Baker's Choco Chips,07-Feb-22,4753.0,389
Jehu Rudeforth,Australia,Orange Choco,23-Mar-22,13706.0,26
Marney O'Breen,India,Peanut Butter Cubes,10-Jan-22,6489.0,146
Oby Sorrel,UK,Choco Coated Almonds,17-Mar-22,9324.0,41
Gigi Bohling,USA,Spicy Special Slims,21-Jan-22,10829.0,54
Barr Faughny,Australia,White Choc,04-Jul-22,8113.0,370
Kaine Padly,Canada,Peanut Butter Cubes,04-Jul-22,3269.0,176
Dotty Strutley,USA,Manuka Honey Choco,10-Aug-22,273.0,210
Dennison Crosswaite,Australia,50% Dark Bites,01-Apr-22,7287.0,12
Gigi Bohling,India,Raspberry Choco,22-Feb-22,2583.0,159
Camilla Castle,UK,White Choc,03-Jan-22,9982.0,187
Karlen McCaffrey,India,Drinking Coco,31-May-22,4795.0,233
Dotty Strutley,UK,99% Dark & Pure,03-Jan-22,9310.0,282
Husein Augar,New Zealand,Caramel Stuffed Bars,27-Jan-22,497.0,475
Barr Faughny,UK,50% Dark Bites,28-Jan-22,581.0,65
Curtice Advani,Australia,Organic Choco Syrup,28-Jun-22,3472.0,311
Husein Augar,UK,Choco Coated Almonds,02-Mar-22,4333.0,43
Wilone O'Kielt,Australia,After Nines,27-May-22,3325.0,26
Dennison Crosswaite,USA,Almond Choco,30-Jun-22,11718.0,84
Barr Faughny,Canada,Peanut Butter Cubes,07-Jun-22,2100.0,78
Kaine Padly,USA,70% Dark Bites,12-May-22,4018.0,100
Barr Faughny,New Zealand,Raspberry Choco,29-Jul-22,6468.0,66
Dennison Crosswaite,UK,White Choc,03-Aug-22,7238.0,265
Barr Faughny,India,Baker's Choco Chips,18-Aug-22,6454.0,141
Van Tuxwell,New Zealand,Smooth Sliky Salty,14-Jun-22,3115.0,42
Beverie Moffet,UK,White Choc,30-Jun-22,6475.0,76
Camilla Castle,New Zealand,Mint Chip Choco,13-Jun-22,1162.0,190
Ches Bonnell,UK,Orange Choco,27-Apr-22,14238.0,54
Jan Morforth,Australia,White Choc,27-Jul-22,3472.0,32
Mallorie Waber,Canada,85% Dark Bars,20-Apr-22,1428.0,424
Rafaelita Blaksland,India,Spicy Special Slims,04-Jan-22,8064.0,134
Ches Bonnell,Australia,Mint Chip Choco,21-Feb-22,9660.0,92
Karlen McCaffrey,Australia,White Choc,05-Jan-22,7357.0,48
Beverie Moffet,India,Drinking Coco,15-Jul-22,6055.0,46
Brien Boise,Australia,Choco Coated Almonds,25-May-22,5124.0,62
Karlen McCaffrey,Canada,Eclairs,20-Apr-22,3479.0,358
Gigi Bohling,USA,99% Dark & Pure,02-Jun-22,784.0,249
Marney O'Breen,UK,Smooth Sliky Salty,13-May-22,18991.0,88
Beverie Moffet,New Zealand,Baker's Choco Chips,03-Aug-22,1372.0,144
Beverie Moffet,Australia,Milk Bars,25-May-22,735.0,390
Van Tuxwell,UK,Raspberry Choco,16-Mar-22,6538.0,79
Jan Morforth,Australia,Orange Choco,04-Jul-22,3199.0,122
Jehu Rudeforth,India,50% Dark Bites,05-Jul-22,3472.0,135
Madelene Upcott,USA,After Nines,15-Mar-22,4571.0,430
Barr Faughny,UK,Raspberry Choco,22-Aug-22,5481.0,69
Ches Bonnell,Australia,70% Dark Bites,12-Jan-22,3136.0,125
Marney O'Breen,UK,Baker's Choco Chips,10-Jun-22,252.0,154
Kaine Padly,Australia,Peanut Butter Cubes,25-Mar-22,5460.0,286
Rafaelita Blaksland,India,Almond Choco,27-Jul-22,3395.0,99
Husein Augar,UK,Caramel Stuffed Bars,15-Apr-22,14938.0,433
Roddy Speechley,India,Orange Choco,27-Jun-22,4053.0,19
Jehu Rudeforth,UK,70% Dark Bites,14-Apr-22,5565.0,258
Husein Augar,Australia,Manuka Honey Choco,15-Mar-22,7161.0,92
Madelene Upcott,USA,Eclairs,18-Mar-22,8883.0,200
Brien Boise,India,Eclairs,29-Apr-22,1351.0,61
Mallorie Waber,New Zealand,White Choc,25-Feb-22,3171.0,246
Husein Augar,USA,Milk Bars,02-Mar-22,854.0,56
Van Tuxwell,Australia,Milk Bars,20-Jun-22,7910.0,87
Beverie Moffet,Canada,White Choc,15-Jul-22,9275.0,173
Dotty Strutley,Australia,50% Dark Bites,12-May-22,3108.0,252
Mallorie Waber,New Zealand,Organic Choco Syrup,01-Jul-22,5075.0,256
Husein Augar,USA,85% Dark Bars,08-Aug-22,378.0,54
Madelene Upcott,Australia,50% Dark Bites,25-Jul-22,7350.0,6
Wilone O'Kielt,UK,Drinking Coco,18-May-22,3388.0,55
Camilla Castle,India,Peanut Butter Cubes,15-Jul-22,11837.0,277
Curtice Advani,India,70% Dark Bites,05-Jul-22,2282.0,44
Mallorie Waber,USA,Manuka Honey Choco,04-Jul-22,5425.0,96
Dotty Strutley,UK,70% Dark Bites,20-Jun-22,1267.0,216
Gunar Cockshoot,Australia,Almond Choco,25-Jan-22,3752.0,424
Kaine Padly,New Zealand,Spicy Special Slims,01-Jul-22,7728.0,37
Gigi Bohling,USA,50% Dark Bites,13-Apr-22,2296.0,59
Beverie Moffet,UK,Smooth Sliky Salty,04-May-22,4403.0,76
Beverie Moffet,Australia,Baker's Choco Chips,04-Aug-22,3192.0,109
Beverie Moffet,India,70% Dark Bites,01-Jun-22,448.0,146
Jehu Rudeforth,UK,Choco Coated Almonds,22-Apr-22,4270.0,185
Kaine Padly,USA,50% Dark Bites,03-Aug-22,70.0,27
Ches Bonnell,USA,Orange Choco,10-Jun-22,1743.0,69
Gunar Cockshoot,UK,Manuka Honey Choco,27-Jun-22,6762.0,46
Marney O'Breen,Australia,Smooth Sliky Salty,03-Jan-22,3745.0,170
Marney O'Breen,India,After Nines,11-Jul-22,2639.0,179
Ches Bonnell,New Zealand,Milk Bars,17-Aug-22,4389.0,126
Rafaelita Blaksland,USA,Fruit & Nut Bars,18-Jan-22,2604.0,65
Ches Bonnell,India,Organic Choco Syrup,08-Mar-22,16569.0,99
Mallorie Waber,Australia,Orange Choco,07-Mar-22,14658.0,275
Husein Augar,India,70% Dark Bites,09-May-22,6454.0,157
Barr Faughny,New Zealand,85% Dark Bars,23-May-22,2100.0,157
Madelene Upcott,UK,Caramel Stuffed Bars,15-Apr-22,161.0,145
Gigi Bohling,Australia,Drinking Coco,27-Jul-22,2807.0,139
Marney O'Breen,Canada,Choco Coated Almonds,22-Aug-22,2639.0,406
Ches Bonnell,USA,70% Dark Bites,11-May-22,4571.0,122
Madelene Upcott,India,Organic Choco Syrup,26-Jan-22,4781.0,38
Barr Faughny,USA,50% Dark Bites,14-Apr-22,13034.0,117
Dennison Crosswaite,New Zealand,Mint Chip Choco,05-Apr-22,6454.0,417
Marney O'Breen,New Zealand,Smooth Sliky Salty,14-Jun-22,8484.0,57
Brien Boise,Canada,Almond Choco,13-Apr-22,4781.0,125
Beverie Moffet,Australia,White Choc,27-Jun-22,2240.0,166
Dotty Strutley,Australia,Eclairs,26-Jan-22,6979.0,3
Barr Faughny,UK,White Choc,05-Jul-22,1652.0,72
Beverie Moffet,Canada,Baker's Choco Chips,11-Jan-22,13447.0,95
Kelci Walkden,USA,White Choc,07-Mar-22,9422.0,22
Kaine Padly,Canada,50% Dark Bites,04-Mar-22,8687.0,100
Karlen McCaffrey,Canada,Organic Choco Syrup,15-Jul-22,2415.0,312
Kaine Padly,UK,Peanut Butter Cubes,11-May-22,6272.0,86
Karlen McCaffrey,USA,Milk Bars,27-Jan-22,4389.0,7
Karlen McCaffrey,India,Orange Choco,27-Jun-22,3122.0,149
Ches Bonnell,India,Smooth Sliky Salty,03-Aug-22,8043.0,18
Wilone O'Kielt,New Zealand,Mint Chip Choco,19-Aug-22,11662.0,242
Wilone O'Kielt,Australia,Fruit & Nut Bars,15-Jun-22,392.0,102
Dennison Crosswaite,UK,Peanut Butter Cubes,07-Feb-22,8925.0,158
Karlen McCaffrey,Australia,Almond Choco,08-Jul-22,7294.0,128
Dennison Crosswaite,India,Milk Bars,21-Apr-22,1526.0,96
Ches Bonnell,UK,Mint Chip Choco,08-Apr-22,2688.0,209
Husein Augar,Australia,50% Dark Bites,19-Aug-22,14889.0,52
Jan Morforth,India,Fruit & Nut Bars,04-May-22,2912.0,55
Mallorie Waber,USA,85% Dark Bars,11-May-22,2632.0,108
Mallorie Waber,USA,Eclairs,22-Mar-22,6328.0,51
Dennison Crosswaite,Canada,Spicy Special Slims,10-Aug-22,2527.0,216
Dennison Crosswaite,USA,Fruit & Nut Bars,04-May-22,1414.0,318
Kelci Walkden,USA,99% Dark & Pure,18-Aug-22,7714.0,238
Dotty Strutley,Canada,Raspberry Choco,03-Aug-22,4347.0,238
Marney O'Breen,New Zealand,Milk Bars,14-Jan-22,7490.0,315
Madelene Upcott,Australia,Choco Coated Almonds,08-Apr-22,2058.0,72
Kelci Walkden,UK,Orange Choco,01-Aug-22,3640.0,3
Dennison Crosswaite,Canada,Eclairs,15-Mar-22,455.0,45
Karlen McCaffrey,India,Mint Chip Choco,15-Jul-22,10990.0,184
Barr Faughny,New Zealand,Almond Choco,13-Jan-22,5558.0,127
Mallorie Waber,Australia,85% Dark Bars,26-Aug-22,2541.0,53
Ches Bonnell,Canada,Eclairs,10-Jan-22,1876.0,172
Gigi Bohling,Australia,White Choc,11-May-22,5523.0,87
Beverie Moffet,New Zealand,85% Dark Bars,30-Aug-22,11200.0,22
Kaine Padly,USA,Caramel Stuffed Bars,21-Jul-22,5593.0,122
Mallorie Waber,Australia,Almond Choco,01-Aug-22,7882.0,125
Brien Boise,Canada,85% Dark Bars,17-Feb-22,10241.0,259
Brien Boise,Australia,Drinking Coco,27-Jul-22,6832.0,156
Dotty Strutley,USA,Orange Choco,23-Feb-22,1379.0,107
Rafaelita Blaksland,Australia,50% Dark Bites,22-Mar-22,3010.0,40
Dennison Crosswaite,India,99% Dark & Pure,23-Jun-22,6888.0,311
Curtice Advani,UK,White Choc,01-Feb-22,1540.0,73
Kelci Walkden,Australia,After Nines,02-Mar-22,6916.0,288
Gigi Bohling,UK,Fruit & Nut Bars,06-Apr-22,1232.0,86
Gunar Cockshoot,Australia,Raspberry Choco,17-Mar-22,602.0,72
Curtice Advani,UK,Fruit & Nut Bars,24-Jun-22,10927.0,136
Barr Faughny,Canada,50% Dark Bites,19-Jul-22,10185.0,303
Curtice Advani,USA,Spicy Special Slims,11-Jul-22,1603.0,264
Brien Boise,India,Almond Choco,13-Jan-22,2170.0,218
Oby Sorrel,New Zealand,Smooth Sliky Salty,07-Jul-22,8673.0,60
Jan Morforth,India,85% Dark Bars,25-May-22,4760.0,418
Marney O'Breen,India,Fruit & Nut Bars,13-Apr-22,4753.0,151
Andria Kimpton,New Zealand,50% Dark Bites,02-Mar-22,3374.0,202
Gunar Cockshoot,Canada,Raspberry Choco,23-Jun-22,2058.0,126
Kelci Walkden,USA,Drinking Coco,26-Jul-22,6454.0,160
Van Tuxwell,Canada,White Choc,22-Mar-22,420.0,3
Rafaelita Blaksland,USA,Baker's Choco Chips,09-Jun-22,2863.0,58
Van Tuxwell,Australia,Caramel Stuffed Bars,17-May-22,5936.0,59
Ches Bonnell,New Zealand,Peanut Butter Cubes,04-Mar-22,889.0,273
Kelci Walkden,Canada,Milk Bars,07-Jul-22,16016.0,28
Dennison Crosswaite,Canada,Choco Coated Almonds,13-Jan-22,10479.0,118
Curtice Advani,Australia,Almond Choco,13-Jul-22,2912.0,75
Madelene Upcott,Australia,85% Dark Bars,16-Jun-22,1575.0,329
Gigi Bohling,UK,50% Dark Bites,18-Jul-22,8197.0,69
Ches Bonnell,UK,Manuka Honey Choco,30-May-22,4221.0,395
Gigi Bohling,UK,70% Dark Bites,21-Jun-22,840.0,81
Jehu Rudeforth,Australia,Peanut Butter Cubes,24-Jun-22,5691.0,38
Marney O'Breen,India,Eclairs,13-Jan-22,3472.0,96
Curtice Advani,Canada,Fruit & Nut Bars,04-Apr-22,4193.0,195
Kaine Padly,UK,Smooth Sliky Salty,08-Jun-22,9016.0,554
Karlen McCaffrey,Canada,Spicy Special Slims,02-Aug-22,6328.0,47
Kelci Walkden,USA,Organic Choco Syrup,21-Jul-22,9870.0,152
Curtice Advani,India,Spicy Special Slims,20-Jun-22,161.0,134
Roddy Speechley,India,After Nines,22-Jun-22,2576.0,112
Camilla Castle,Australia,Caramel Stuffed Bars,02-May-22,3178.0,16
Curtice Advani,Australia,99% Dark & Pure,07-Jan-22,4676.0,84
Mallorie Waber,UK,50% Dark Bites,21-Feb-22,5502.0,99
Ches Bonnell,Canada,Baker's Choco Chips,21-Mar-22,7462.0,371
Van Tuxwell,UK,Drinking Coco,04-Apr-22,5803.0,136
Gunar Cockshoot,Canada,Fruit & Nut Bars,24-Mar-22,13888.0,203
Gunar Cockshoot,New Zealand,Spicy Special Slims,28-Jun-22,6867.0,183
Gunar Cockshoot,Australia,Drinking Coco,14-Jan-22,2317.0,195
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,07-Feb-22,1218.0,135
Dennison Crosswaite,New Zealand,Drinking Coco,11-Jan-22,4109.0,197
Jehu Rudeforth,India,99% Dark & Pure,25-Feb-22,1953.0,242
Dotty Strutley,Australia,Mint Chip Choco,01-Aug-22,6790.0,25
Roddy Speechley,Australia,Mint Chip Choco,05-May-22,6797.0,252
Madelene Upcott,New Zealand,Raspberry Choco,18-May-22,9226.0,415
Dotty Strutley,New Zealand,Choco Coated Almonds,04-Jan-22,5733.0,348
Roddy Speechley,New Zealand,50% Dark Bites,09-May-22,4312.0,211
Rafaelita Blaksland,India,Smooth Sliky Salty,06-May-22,1638.0,81
Husein Augar,UK,White Choc,13-Jan-22,10815.0,145
Roddy Speechley,Australia,Almond Choco,24-Jun-22,4466.0,74
Van Tuxwell,USA,Caramel Stuffed Bars,14-Feb-22,987.0,21
Camilla Castle,Australia,99% Dark & Pure,18-Jan-22,4669.0,101
Kaine Padly,India,Milk Bars,02-May-22,2905.0,91
Ches Bonnell,Australia,Smooth Sliky Salty,16-May-22,7490.0,54
Mallorie Waber,USA,Almond Choco,28-Jan-22,6986.0,368
Kaine Padly,Canada,99% Dark & Pure,24-Jun-22,1288.0,409
Oby Sorrel,UK,After Nines,18-Jul-22,2345.0,104
Gunar Cockshoot,UK,Eclairs,13-Apr-22,3619.0,164
Dotty Strutley,USA,Caramel Stuffed Bars,15-Apr-22,16982.0,76
Jan Morforth,India,Peanut Butter Cubes,04-Jan-22,8092.0,178
Husein Augar,Australia,Eclairs,04-Jul-22,6993.0,31
Beverie Moffet,USA,Smooth Sliky Salty,24-Mar-22,2317.0,352
Camilla Castle,Australia,Manuka Honey Choco,17-Mar-22,637.0,169
Oby Sorrel,Australia,Almond Choco,15-Feb-22,6034.0,223
Jan Morforth,USA,Orange Choco,29-Jun-22,980.0,146
Gigi Bohling,USA,Fruit & Nut Bars,24-May-22,2821.0,112
Mallorie Waber,UK,Milk Bars,10-Jan-22,3563.0,284
